1,LOC163,K003,Dartford South,Rural Road,Empty,Yes,Poor,3,Easy,Critical
2,LOC062,K004,Dover North,Canal/river side,Thick,Yes,No light,3,Not Possible,Critical
3,LOC004,K012,Folkestone & Hythe South,Lay-by,Medium,No,No light,16,Not Possible,Critical
4,LOC026,K012,Folkestone & Hythe West,Industrial estate,Empty,Yes,Poor,19,Difficult,High
5,LOC011,K007,Sevenoaks East,Industrial estate,Low,Yes,Good,14,Not Possible,Low
6,LOC026,K009,Thanet East,Residential street,Low,Yes,Poor,1,Easy,Critical
7,LOC189,K004,Dover North,Woodland,Low,Yes,Poor,6,Difficult,Critical
8,LOC086,K005,Gravesham West,Car park,Low,No,No light,12,Not Possible,High
9,LOC171,K006,Maidstone West,Commercial area,Thick,Yes,No light,4,Difficult,Critical
10,LOC041,K007,Sevenoaks South,Residential street,Thick,Yes,No light,5,Difficult,High
11,LOC035,K008,Swale North,Construction area,Thick,Yes,Poor,2,Difficult,High
12,LOC115,K009,Thanet West,Commercial area,Thick,Yes,Good,12,Difficult,High
13,LOC192,K005,Gravesham West,Canal/river side,Low,Yes,No light,3,Difficult,Low
14,LOC024,K012,Folkestone & Hythe West,Rural road,Empty,No,Poor,8,Difficult,Low
15,LOC161,K009,Thanet East,Car park,Thick,No,Poor,1,Not Possible,Low
16,LOC093,K007,Sevenoaks North,Industrial estate,Low,No,No light,7,Difficult,Low
17,LOC041,K006,Maidstone East,Car park,Medium,Yes,No light,6,Not Possible,Critical
18,LOC105,K001,Ashford West,Lay-by,Thick,Yes,No light,11,Difficult,Critical
19,LOC018,K004,Dover North,Lay-by,Thick,Yes,Poor,15,Difficult,Critical
20,LOC176,K009,Thanet South,Canal/river side,Empty,No,Poor,13,Not Possible,Low
21,LOC183,K005,Gravesham South,Commercial area,Medium,No,Poor,1,Difficult,Critical
22,LOC134,K009,Thanet West,Residential street,Empty,No,No light,3,Not Possible,High
23,LOC105,K003,Dartford East,Industrial estate,Thick,No,Good,11,Easy,Low
24,LOC048,K012,Folkestone & Hythe North,Industrial estate,Thick,No,No light,8,Not Possible,Critical
25,LOC173,K001,Ashford West,Rural road,Low,No,No light,2,Easy,Critical
26,LOC160,K004,Dover East,Woodland,Empty,Yes,No light,12,Not Possible,High
27,LOC126,K005,Gravesham North,Residential street,Thick,Yes,Good,1,Easy,Low
28,LOC036,K001,Ashford East,Woodland,Empty,No,Good,16,Easy,High
29,LOC173,K008,Swale West,Construction area,Thick,No,Good,1,Not Possible,Low
30,LOC011,K006,Maidstone West,Construction area,Low,Yes,Poor,12,Easy,High
31,LOC186,K006,Maidstone South,Construction area,Thick,No,Good,2,Easy,Critical
32,LOC008,K008,Swale North,Rural Road,Medium,Yes,Good,19,Easy,Low
33,LOC072,K007,Sevenoaks North,Industrial estate,Thick,No,No light,17,Difficult,High
34,LOC015,K009,Thanet South,Woodland,Empty,No,No light,15,Difficult,Critical
35,LOC045,K001,Ashford North,Construction area,Empty,No,Poor,17,Easy,Critical
36,LOC056,K005,Gravesham North,Construction area,Empty,No,Poor,6,Difficult,Critical
37,LOC149,K006,Maidstone South,Commercial area,Medium,No,No light,17,Difficult,Low
